,Beta,Gini,Total,Group_probs,Group,Time Window Size
19,1.0,8.922727234441595e-06,0.29258984895320556,"{0: 0.2925863183083162, 1: 0.29259676116631694}",Gender,30
0,0.0,0.10878083542854647,0.21498977117138132,"{0: 0.21557131467925916, 1: 0.2057922592675187, 8: 0.1629444354499616, 9: 0.12672491521047724}",Ethnicity,30
1,0.05,0.04407667341845336,0.21604639359639322,"{0: 0.2161031587901357, 1: 0.21443280526311403, 8: 0.21007724356241947, 9: 0.26260138523453175}",Ethnicity,30
2,0.1,0.040399060633682836,0.21616945464199389,"{0: 0.2161791548991777, 1: 0.21596275753437832, 8: 0.21373780672805814, 9: 0.26260138523453175}",Ethnicity,30
3,0.15,0.03931726119519443,0.21632847875047964,"{0: 0.216321069079375, 1: 0.21676212839172487, 8: 0.21500719628163675, 9: 0.26260138523453175}",Ethnicity,30
4,0.2,0.038487359397691004,0.21642201402758848,"{0: 0.21639094152055585, 1: 0.21799960490235645, 8: 0.21627211110983524, 9: 0.26260138523453175}",Ethnicity,30
5,0.25,0.03829450348237983,0.21653713691030416,"{0: 0.21649999418468444, 1: 0.21841384404135214, 8: 0.21668295575991733, 9: 0.26260138523453175}",Ethnicity,30
6,0.3,0.038198074119327706,0.21659163348405,"{0: 0.2165529075790263, 1: 0.21848710079080924, 8: 0.21689796494559077, 9: 0.26260138523453175}",Ethnicity,30
7,0.4,0.04045327694539088,0.21802636865195088,"{0: 0.2180709366904931, 1: 0.21596128664875683, 8: 0.21417754100970943, 9: 0.26260138523453175}",Ethnicity,30
8,0.5,0.04120105014856806,0.21793339146178323,"{0: 0.21797904261857545, 1: 0.21648119174215247, 8: 0.21310112122292832, 9: 0.26260138523453175}",Ethnicity,30
9,0.6,0.03374170154459978,0.22100281936225893,"{0: 0.22094064062679625, 1: 0.22318719934020106, 8: 0.2237948245894762, 9: 0.26260138523453175}",Ethnicity,30
10,0.7,0.025228158519871105,0.23197135551105486,"{0: 0.23198457919341392, 1: 0.23071284369186976, 8: 0.2311340452660726, 9: 0.26260138523453175}",Ethnicity,30
11,0.75,0.021579079520336726,0.23668618895991606,"{0: 0.23670868829306865, 1: 0.2351761987613998, 8: 0.2352777848892124, 9: 0.26260138523453175}",Ethnicity,30
12,0.8,0.021579079520336726,0.23668618895991606,"{0: 0.23670868829306865, 1: 0.2351761987613998, 8: 0.2352777848892124, 9: 0.26260138523453175}",Ethnicity,30
13,0.9,0.008433371775914205,0.25692187204006306,"{0: 0.25698097295464345, 1: 0.2557464748002821, 8: 0.2514670823631078, 9: 0.26260138523453175}",Ethnicity,30
14,0.95,0.01870584024836699,0.24449822111085948,"{0: 0.24455985747808412, 1: 0.24329569184441815, 8: 0.23836055771868642, 9: 0.26260138523453175}",Ethnicity,30
15,0.99,0.018717211925215246,0.24454584864210038,"{0: 0.2446084755057275, 1: 0.24329569184441815, 8: 0.23836055771868642, 9: 0.26260138523453175}",Ethnicity,30
16,0.999,0.018717211925215246,0.24454584864210038,"{0: 0.2446084755057275, 1: 0.24329569184441815, 8: 0.23836055771868642, 9: 0.26260138523453175}",Ethnicity,30
17,0.9995,0.018717211925215246,0.24454584864210038,"{0: 0.2446084755057275, 1: 0.24329569184441815, 8: 0.23836055771868642, 9: 0.26260138523453175}",Ethnicity,30
18,0.9999,0.018717211925215246,0.24454584864210038,"{0: 0.2446084755057275, 1: 0.24329569184441815, 8: 0.23836055771868642, 9: 0.26260138523453175}",Ethnicity,30
19,1.0,0.018717211925215246,0.24454584864210038,"{0: 0.2446084755057275, 1: 0.24329569184441815, 8: 0.23836055771868642, 9: 0.26260138523453175}",Ethnicity,30
0,0.0,0.043970194785430086,0.21498977117138132,"{0: 0.21418130719670297, 1: 0.23138869828454398, 9: 0.2247661183209142, 8: 0.18478390942473433}",VeteranStatus,30
1,0.05,0.02748697909983957,0.21548025397826245,"{0: 0.21466674735810398, 1: 0.23159661184495575, 9: 0.24837165647499143, 8: 0.23094567121251366}",VeteranStatus,30
2,0.1,0.027867974207580862,0.21571193507042694,"{0: 0.21480713435775686, 1: 0.23367575492620504, 9: 0.24837165647499143, 8: 0.23094567121251366}",VeteranStatus,30
3,0.15,0.028091808082974488,0.2159149717968194,"{0: 0.21494934646888425, 1: 0.23511025445542116, 9: 0.24837165647499143, 8: 0.23094567121251366}",VeteranStatus,30
4,0.2,0.03130820110974039,0.21748353344644286,"{0: 0.21663152767349694, 1: 0.23435485793017014, 9: 0.2545895407965094, 8: 0.23094567121251366}",VeteranStatus,30
5,0.25,0.031073150827391333,0.21782422691916975,"{0: 0.21697789273106965, 1: 0.23458510278638797, 9: 0.2545895407965094, 8: 0.23094567121251366}",VeteranStatus,30
6,0.3,0.030740618841465894,0.21788129405205062,"{0: 0.21708863983972745, 1: 0.23355823515309496, 9: 0.2545895407965094, 8: 0.23094567121251366}",VeteranStatus,30
7,0.4,0.032109070291205945,0.22086794367805643,"{0: 0.22019202765827947, 1: 0.2341846359365788, 9: 0.2595649768952276, 8: 0.23094567121251366}",VeteranStatus,30
8,0.5,0.023786052533637008,0.2295102120628384,"{0: 0.22885020693994954, 1: 0.24255962745675627, 9: 0.2595649768952276, 8: 0.242119634857397}",VeteranStatus,30
9,0.6,0.01264984314593623,0.25326868485562637,"{0: 0.25261943894919153, 1: 0.2663481105740611, 9: 0.2595649768952276, 8: 0.2512937684262773}",VeteranStatus,30
10,0.7,0.01038545986421646,0.26131234547678867,"{0: 0.26112609453449176, 1: 0.2651346800780837, 9: 0.2595649768952276, 8: 0.2512937684262773}",VeteranStatus,30
11,0.75,0.010395715276750123,0.26133341208160094,"{0: 0.2611478535984193, 1: 0.2651420117332499, 9: 0.2595649768952276, 8: 0.2512937684262773}",VeteranStatus,30
12,0.8,0.009630895407397162,0.2611984363448472,"{0: 0.26105769291293374, 1: 0.2640998828587822, 9: 0.2595649768952276, 8: 0.2512937684262773}",VeteranStatus,30
13,0.9,0.013612914778509974,0.2737935566129507,"{0: 0.2737293654237252, 1: 0.27525057093438465, 9: 0.2595649768952276, 8: 0.26246773207116064}",VeteranStatus,30
14,0.95,0.012537929802414364,0.2727216037298467,"{0: 0.2726640020400067, 1: 0.27403242135812095, 9: 0.2595649768952276, 8: 0.26246773207116064}",VeteranStatus,30
15,0.99,0.015011071069861161,0.2752401862814645,"{0: 0.27517043279467124, 1: 0.27682720446524495, 9: 0.2595649768952276, 8: 0.26246773207116064}",VeteranStatus,30
16,0.999,0.015011071069861161,0.2752401862814645,"{0: 0.27517043279467124, 1: 0.27682720446524495, 9: 0.2595649768952276, 8: 0.26246773207116064}",VeteranStatus,30
17,0.9995,0.015011071069861161,0.2752401862814645,"{0: 0.27517043279467124, 1: 0.27682720446524495, 9: 0.2595649768952276, 8: 0.26246773207116064}",VeteranStatus,30
18,0.9999,0.015011071069861161,0.2752401862814645,"{0: 0.27517043279467124, 1: 0.27682720446524495, 9: 0.2595649768952276, 8: 0.26246773207116064}",VeteranStatus,30
19,1.0,0.015011071069861161,0.2752401862814645,"{0: 0.27517043279467124, 1: 0.27682720446524495, 9: 0.2595649768952276, 8: 0.26246773207116064}",VeteranStatus,30
0,0.0,0.16238933096979735,0.21498977117138132,"{0: 0.20253046879766495, 1: 0.2958919568242783, 8: 0.2495749629168413, 9: 0.1229883908624405}",DisablingCondition,30
1,0.05,0.08385496303491001,0.21631726397329465,"{0: 0.20697167486557133, 1: 0.27939866838026806, 8: 0.22538260029371338, 9: 0.30234970572721154}",DisablingCondition,30
2,0.1,0.08402769986370821,0.21727898093755857,"{0: 0.20902546000326777, 1: 0.27421965910314827, 8: 0.2171567595823313, 9: 0.30234970572721154}",DisablingCondition,30
3,0.15,0.0801549821333449,0.21976559370578772,"{0: 0.2122347873152201, 1: 0.27172778208212145, 8: 0.2195674513141449, 9: 0.30234970572721154}",DisablingCondition,30
4,0.2,0.07775081484845597,0.22169634058051976,"{0: 0.21473222462445374, 1: 0.27001446341631513, 8: 0.2197380980874311, 9: 0.30234970572721154}",DisablingCondition,30
5,0.25,0.07652693248707161,0.22228261481643144,"{0: 0.21560767132425013, 1: 0.268572279079282, 8: 0.22052972209603436, 9: 0.30234970572721154}",DisablingCondition,30
6,0.3,0.07317768860069233,0.2251243308245319,"{0: 0.21903121699681222, 1: 0.2676467854184778, 8: 0.22173974722367484, 9: 0.30234970572721154}",DisablingCondition,30
7,0.4,0.06620170461084667,0.23049019201759693,"{0: 0.22527306219572413, 1: 0.26690720251894745, 8: 0.22749733420705467, 9: 0.30234970572721154}",DisablingCondition,30
8,0.5,0.05950724721901353,0.23592840790347555,"{0: 0.23132264631497726, 1: 0.267905174356903, 8: 0.2343948866193421, 9: 0.30234970572721154}",DisablingCondition,30
9,0.6,0.048021139107640984,0.24501374924410757,"{0: 0.24167631364478773, 1: 0.2677759378935964, 8: 0.24651061343328373, 9: 0.30234970572721154}",DisablingCondition,30
10,0.7,0.03104374860662602,0.2649298589832982,"{0: 0.26213409992076786, 1: 0.28400291529955474, 8: 0.26622981329249784, 9: 0.30234970572721154}",DisablingCondition,30
11,0.75,0.022708318584205148,0.2732754161562721,"{0: 0.2717743812139158, 1: 0.28369518709628877, 8: 0.27272969589875395, 9: 0.30234970572721154}",DisablingCondition,30
12,0.8,0.020093954055839306,0.2754947383980032,"{0: 0.2744811877261759, 1: 0.28254508923035865, 8: 0.27497616359184757, 9: 0.30234970572721154}",DisablingCondition,30
13,0.9,0.018388861591479462,0.2780258742663511,"{0: 0.2769799717358271, 1: 0.2853159840887107, 8: 0.2774200340441082, 9: 0.30234970572721154}",DisablingCondition,30
14,0.95,0.020894027239859978,0.27582820618287346,"{0: 0.2743634704948518, 1: 0.2860541756512816, 8: 0.2749286743020077, 9: 0.30234970572721154}",DisablingCondition,30
15,0.99,0.0191633019246073,0.2771291514314205,"{0: 0.2760441156220814, 1: 0.28472273843895346, 8: 0.2762996048327063, 9: 0.30234970572721154}",DisablingCondition,30
16,0.999,0.019162952956855002,0.27716770047259026,"{0: 0.2760746334026039, 1: 0.28482270301128726, 8: 0.2762996048327063, 9: 0.30234970572721154}",DisablingCondition,30
17,0.9995,0.019162952956855002,0.27716770047259026,"{0: 0.2760746334026039, 1: 0.28482270301128726, 8: 0.2762996048327063, 9: 0.30234970572721154}",DisablingCondition,30
18,0.9999,0.019162952956855002,0.27716770047259026,"{0: 0.2760746334026039, 1: 0.28482270301128726, 8: 0.2762996048327063, 9: 0.30234970572721154}",DisablingCondition,30
19,1.0,0.019162952956855002,0.27716770047259026,"{0: 0.2760746334026039, 1: 0.28482270301128726, 8: 0.2762996048327063, 9: 0.30234970572721154}",DisablingCondition,30
0,0.0,0.10745496953708546,0.21498977117138132,"{-1: 0.2098631262472127, 8: 0.25675658788598155, 2: 0.1629953413401296, 1: 0.23327448776421644, 3: 0.15567717713181917, 4: 0.1637942481595853}",HousingStatusAtEntry,30
1,0.05,0.07530927913071794,0.21883681928958293,"{-1: 0.22226377835784866, 8: 0.25116096441328284, 2: 0.1734991350890675, 1: 0.22852066432824128, 3: 0.17958909430735862, 4: 0.19330068696002833}",HousingStatusAtEntry,30
2,0.1,0.06400923961704348,0.2215743209528403,"{-1: 0.22924546424275685, 8: 0.24974837847297063, 2: 0.17885393142417214, 1: 0.22885506813098638, 3: 0.19052042891827442, 4: 0.20648663821101293}",HousingStatusAtEntry,30
3,0.15,0.049564599193699405,0.22682236015253662,"{-1: 0.23058504452414835, 8: 0.2513728182752247, 2: 0.18833135311253368, 1: 0.22974715341857138, 3: 0.2082431651010672, 4: 0.2176616556549471}",HousingStatusAtEntry,30
4,0.2,0.03945731707491602,0.23076428343800234,"{-1: 0.23456434466810183, 8: 0.25130119587559735, 2: 0.19595586472548782, 1: 0.23269229121702537, 3: 0.221648785051114, 4: 0.22574284422969873}",HousingStatusAtEntry,30
5,0.25,0.034769717946395794,0.23588175284033644,"{-1: 0.2349779197393523, 8: 0.25456207299281347, 2: 0.2053619691891088, 1: 0.2401235252833145, 3: 0.22617223013533555, 4: 0.23215370787270262}",HousingStatusAtEntry,30
6,0.3,0.02819429428276424,0.239396337385686,"{-1: 0.23538776049805812, 8: 0.2565699265460441, 2: 0.21336013810035062, 1: 0.23932133695964386, 3: 0.23176529732432094, 4: 0.23551997791204127}",HousingStatusAtEntry,30
7,0.4,0.02140641614129803,0.24682302200414036,"{-1: 0.23555238279288573, 8: 0.262456180150686, 2: 0.2296576363728944, 1: 0.2424586366716382, 3: 0.23543483320049396, 4: 0.23558696032210627}",HousingStatusAtEntry,30
8,0.5,0.01974571179342456,0.24970682252203208,"{-1: 0.23596036336634577, 8: 0.2649624083509666, 2: 0.2355122453939548, 1: 0.24411227228477592, 3: 0.23604941098834795, 4: 0.23649709749889483}",HousingStatusAtEntry,30
9,0.6,0.019501322404524783,0.2524331579312685,"{-1: 0.2370762410657851, 8: 0.2697262999865656, 2: 0.23796416717755242, 1: 0.24006643657855167, 3: 0.237568602579559, 4: 0.2378472453847657}",HousingStatusAtEntry,30
10,0.7,0.023009417926231294,0.25306315490445414,"{-1: 0.23682715587023034, 8: 0.27057145304525715, 2: 0.23793183370519877, 1: 0.2447124020778177, 3: 0.2372586591058572, 4: 0.23505954388333275}",HousingStatusAtEntry,30
11,0.75,0.021213202940904615,0.25374066517058375,"{-1: 0.2369156571527373, 8: 0.27201977839311425, 2: 0.23853213561532968, 1: 0.2411706387120981, 3: 0.2381277030698573, 4: 0.23768109513732755}",HousingStatusAtEntry,30
12,0.8,0.024402069222546646,0.2546910173156907,"{-1: 0.23699549888168817, 8: 0.273507078113836, 2: 0.2385950103274937, 1: 0.24519344277152585, 3: 0.23789160751706848, 4: 0.23558659724382366}",HousingStatusAtEntry,30
13,0.9,0.020074575157557645,0.2555270860493531,"{-1: 0.2382239216525962, 8: 0.2722481045587288, 2: 0.2419686596546333, 1: 0.24379687801871347, 3: 0.2415372923479078, 4: 0.24348268289277875}",HousingStatusAtEntry,30
14,0.95,0.021784390221660156,0.2556156395510785,"{-1: 0.2381405893061969, 8: 0.2729886766656726, 2: 0.24077767369500058, 1: 0.24625952660685235, 3: 0.24033481379734745, 4: 0.24231520317534555}",HousingStatusAtEntry,30
15,0.99,0.0230817556551579,0.2553674251117312,"{-1: 0.23737166423550915, 8: 0.27344719232740217, 2: 0.240214024348535, 1: 0.24567177585173314, 3: 0.23956404633207593, 4: 0.23795879744838302}",HousingStatusAtEntry,30
16,0.999,0.022609898714720807,0.2569253803336266,"{-1: 0.23737166423550915, 8: 0.27534681094416996, 2: 0.24176772831565593, 1: 0.24500439270782137, 3: 0.24174645981484938, 4: 0.24354248651569468}",HousingStatusAtEntry,30
17,0.9995,0.022609898714720807,0.2569253803336266,"{-1: 0.23737166423550915, 8: 0.27534681094416996, 2: 0.24176772831565593, 1: 0.24500439270782137, 3: 0.24174645981484938, 4: 0.24354248651569468}",HousingStatusAtEntry,30
18,0.9999,0.022603563658487286,0.25692929640530165,"{-1: 0.23737166423550915, 8: 0.2753411515381662, 2: 0.24179318352307086, 1: 0.24500439270782137, 3: 0.24174645981484938, 4: 0.24354248651569468}",HousingStatusAtEntry,30
19,1.0,0.022603563658487286,0.25692929640530165,"{-1: 0.23737166423550915, 8: 0.2753411515381662, 2: 0.24179318352307086, 1: 0.24500439270782137, 3: 0.24174645981484938, 4: 0.24354248651569468}",HousingStatusAtEntry,30
0,0.0,0.059922681841648666,0.21498977117138132,"{0: 0.21367798135162833, 1: 0.2659058290364421, 2: 0.28214525390542183}",HUDChronicHomeless,30
1,0.05,0.08036154324098267,0.21645758948142746,"{0: 0.21445468888251473, 1: 0.29489394012618664, 2: 0.31366233572828617}",HUDChronicHomeless,30
2,0.1,0.0855255390288679,0.22059631736407362,"{0: 0.2178650365351804, 1: 0.33056708061334233, 2: 0.3300738461608383}",HUDChronicHomeless,30
3,0.15,0.07418859341536035,0.22159917991378278,"{0: 0.21933104624044028, 1: 0.31316141327627445, 2: 0.3106772940014596}",HUDChronicHomeless,30
4,0.2,0.08572815680994944,0.22447831073192676,"{0: 0.22169576549542333, 1: 0.3366059281956623, 2: 0.33529940522583196}",HUDChronicHomeless,30
5,0.25,0.08648150184429472,0.22896390351096393,"{0: 0.22609969007419942, 1: 0.344501023315317, 2: 0.34212883544350303}",HUDChronicHomeless,30
6,0.3,0.07286673601993078,0.23314719917985605,"{0: 0.23080375680239637, 1: 0.3275451662811038, 2: 0.3267500467422409}",HUDChronicHomeless,30
7,0.4,0.07169054410025691,0.24505294485939141,"{0: 0.24265137339880238, 1: 0.3420107936267734, 2: 0.3393036685897886}",HUDChronicHomeless,30
8,0.5,0.04198322643646023,0.2625374873423735,"{0: 0.26117795668630817, 1: 0.31748406697899795, 2: 0.3154428379180313}",HUDChronicHomeless,30
9,0.6,0.016698569811709307,0.2927228172470547,"{0: 0.2921660804955543, 1: 0.31510823430552753, 2: 0.3152739350271959}",HUDChronicHomeless,30
10,0.7,0.00043221730939703917,0.3286138289757456,"{0: 0.3286021737364092, 1: 0.3291566463474031, 2: 0.32851721798415834}",HUDChronicHomeless,30
11,0.75,0.0008231789953796767,0.3292013824487621,"{0: 0.3292083035906581, 1: 0.3290444667530522, 2: 0.3279905214474532}",HUDChronicHomeless,30
12,0.8,0.0005377958143748323,0.3287812371091707,"{0: 0.32878549137091045, 1: 0.3286908405962008, 2: 0.3279905214474532}",HUDChronicHomeless,30
13,0.9,0.0008067367842506189,0.3291735223573398,"{0: 0.32917668154329766, 1: 0.32918411027736416, 2: 0.3279905214474532}",HUDChronicHomeless,30
14,0.95,0.0026432404906808794,0.3289661276780626,"{0: 0.32888599637836174, 1: 0.33264384211709286, 2: 0.328717648736025}",HUDChronicHomeless,30
15,0.99,0.0030388971260979594,0.3236029072949687,"{0: 0.3235250399020511, 1: 0.3272485631665349, 2: 0.32281062967618135}",HUDChronicHomeless,30
16,0.999,0.0055272847788575,0.3412213731237841,"{0: 0.3411697248669152, 1: 0.34427681352997935, 2: 0.3358096528283693}",HUDChronicHomeless,30
17,0.9995,0.0055272847788575,0.3412213731237841,"{0: 0.3411697248669152, 1: 0.34427681352997935, 2: 0.3358096528283693}",HUDChronicHomeless,30
18,0.9999,0.0055272847788575,0.3412213731237841,"{0: 0.3411697248669152, 1: 0.34427681352997935, 2: 0.3358096528283693}",HUDChronicHomeless,30
19,1.0,0.0055272847788575,0.3412213731237841,"{0: 0.3411697248669152, 1: 0.34427681352997935, 2: 0.3358096528283693}",HUDChronicHomeless,30
0,0.0,0.010749885956982085,0.21498977117138132,"{0: 0.21626912821970642, 1: 0.2071653828120233}",PhysicalDisability,30
1,0.05,0.0002769065486997337,0.21748358882199548,"{0: 0.21744972278930794, 1: 0.2176907092597848}",PhysicalDisability,30
2,0.1,0.0005272648488386653,0.220533111936435,"{0: 0.2204676989977582, 1: 0.22093316932198193}",PhysicalDisability,30
3,0.15,0.0003695706159418139,0.22199558860393975,"{0: 0.22194944576873346, 1: 0.22227779243681697}",PhysicalDisability,30
4,0.2,0.0008465776065402122,0.22372264042475493,"{0: 0.2236160452996116, 1: 0.2243745629333523}",PhysicalDisability,30
5,0.25,0.0003801544345020831,0.22731017195426625,"{0: 0.2272615706368331, 1: 0.22760741155823092}",PhysicalDisability,30
6,0.3,0.0005990883976917529,0.22787373686079287,"{0: 0.22779693157565167, 1: 0.22834346841836145}",PhysicalDisability,30
7,0.4,0.0012566935816432335,0.24067251321596622,"{0: 0.2405021903286084, 1: 0.2417141867807616}",PhysicalDisability,30
8,0.5,0.00015743110220210835,0.25891322721688687,"{0: 0.25889030932066787, 1: 0.25905339021566115}",PhysicalDisability,30
9,0.6,0.00030792528671331354,0.2727318057338825,"{0: 0.27268457712798977, 1: 0.27302065000504155}",PhysicalDisability,30
10,0.7,0.00027861437795512125,0.27173823317726087,"{0: 0.27178077459667005, 1: 0.27147805515483037}",PhysicalDisability,30
11,0.75,0.00013385280592079194,0.2734101953032105,"{0: 0.2734307632178085, 1: 0.2732844044993317}",PhysicalDisability,30
12,0.8,1.0758434408954302e-05,0.2736036778599418,"{0: 0.2736053324710774, 1: 0.2735935584643238}",PhysicalDisability,30
13,0.9,0.00014935300776309818,0.273817229835522,"{0: 0.27379423662188956, 1: 0.27395785346621593}",PhysicalDisability,30
14,0.95,0.00016544189893328553,0.2737172568019107,"{0: 0.2737427061134843, 1: 0.27356161198212403}",PhysicalDisability,30
15,0.99,0.00013194988794326722,0.2742738889403386,"{0: 0.27425354160469045, 1: 0.27439833071083425}",PhysicalDisability,30
